Los Angeles, CA: Los Angeles International,LAX,1564494
Chicago, IL: Chicago O'Hare International,ORD,1266224
Denver, CO: Denver International,DEN,1241394
Atlanta, GA: Hartsfield-Jackson Atlanta International,ATL,1128009
Boston, MA: Logan International,BOS,1043353
San Francisco, CA: San Francisco International,SFO,1013794
Seattle, WA: Seattle/Tacoma International,SEA,1001502
Newark, NJ: Newark Liberty International,EWR,938695
Dallas/Fort Worth, TX: Dallas/Fort Worth International,DFW,935860
Orlando, FL: Orlando International,MCO,873096
New York, NY: John F. Kennedy International,JFK,830008
Phoenix, AZ: Phoenix Sky Harbor International,PHX,816031
New York, NY: LaGuardia,LGA,801538
Las Vegas, NV: McCarran International,LAS,773745
Minneapolis, MN: Minneapolis-St Paul International,MSP,726465
Philadelphia, PA: Philadelphia International,PHL,694107
Detroit, MI: Detroit Metro Wayne County,DTW,655017
San Diego, CA: San Diego International,SAN,653382
Fort Lauderdale, FL: Fort Lauderdale-Hollywood International,FLL,636760
Baltimore, MD: Baltimore/Washington International Thurgood Marshall,BWI,628088
Houston, TX: George Bush Intercontinental/Houston,IAH,578011
Washington, DC: Ronald Reagan Washington National,DCA,562560
Tampa, FL: Tampa International,TPA,541352
Portland, OR: Portland International,PDX,537905
Austin, TX: Austin - Bergstrom International,AUS,488498
Salt Lake City, UT: Salt Lake City International,SLC,448431
Charlotte, NC: Charlotte Douglas International,CLT,439658
San Jose, CA: Norman Y. Mineta San Jose International,SJC,438478
Raleigh/Durham, NC: Raleigh-Durham International,RDU,417339
Chicago, IL: Chicago Midway International,MDW,415696
Nashville, TN: Nashville International,BNA,413833
Sacramento, CA: Sacramento International,SMF,405082
Oakland, CA: Metropolitan Oakland International,OAK,389248
Miami, FL: Miami International,MIA,388762
St. Louis, MO: St Louis Lambert International,STL,367059
Kansas City, MO: Kansas City International,MCI,350507
Dallas, TX: Dallas Love Field,DAL,337688
Honolulu, HI: Daniel K Inouye International,HNL,327764
Cleveland, OH: Cleveland-Hopkins International,CLE,318712
New Orleans, LA: Louis Armstrong New Orleans International,MSY,316979
Washington, DC: Washington Dulles International,IAD,314108
Indianapolis, IN: Indianapolis International,IND,296292
Pittsburgh, PA: Pittsburgh International,PIT,295056
Santa Ana, CA: John Wayne Airport-Orange County,SNA,287349
Houston, TX: William P Hobby,HOU,285339
Cincinnati, OH: Cincinnati/Northern Kentucky International,CVG,282179
San Antonio, TX: San Antonio International,SAT,272582
Columbus, OH: John Glenn Columbus International,CMH,262874
Hartford, CT: Bradley International,BDL,232144
Fort Myers, FL: Southwest Florida International,RSW,222337
Milwaukee, WI: General Mitchell International,MKE,221655
San Juan, PR: Luis Munoz Marin International,SJU,215090
Jacksonville, FL: Jacksonville International,JAX,197355
Burbank, CA: Bob Hope,BUR,192747
West Palm Beach/Palm Beach, FL: Palm Beach International,PBI,184032
Ontario, CA: Ontario International,ONT,175031
Buffalo, NY: Buffalo Niagara International,BUF,163165
Omaha, NE: Eppley Airfield,OMA,156563
Albuquerque, NM: Albuquerque International Sunport,ABQ,151543
Richmond, VA: Richmond International,RIC,138213
Memphis, TN: Memphis International,MEM,136240
Providence, RI: Theodore Francis Green State,PVD,133763
Oklahoma City, OK: Will Rogers World,OKC,133062
Boise, ID: Boise Air Terminal,BOI,125803
Anchorage, AK: Ted Stevens Anchorage International,ANC,123486
Spokane, WA: Spokane International,GEG,121437
Norfolk, VA: Norfolk International,ORF,120281
Louisville, KY: Louisville Muhammad Ali International,SDF,119938
Charleston, SC: Charleston AFB/International,CHS,119272
Grand Rapids, MI: Gerald R. Ford International,GRR,119118
Reno, NV: Reno/Tahoe International,RNO,116410
Kahului, HI: Kahului Airport,OGG,114681
Long Beach, CA: Long Beach Airport,LGB,113107
El Paso, TX: El Paso International,ELP,108621
Tucson, AZ: Tucson International,TUS,108169
Albany, NY: Albany International,ALB,101519
Tulsa, OK: Tulsa International,TUL,94138
Birmingham, AL: Birmingham-Shuttlesworth International,BHM,93145
Des Moines, IA: Des Moines International,DSM,90587
Syracuse, NY: Syracuse Hancock International,SYR,84806
Rochester, NY: Greater Rochester International,ROC,82707
Greer, SC: Greenville-Spartanburg International,GSP,76746
Madison, WI: Dane County Regional-Truax Field,MSN,73307
Knoxville, TN: McGhee Tyson,TYS,72296
Kona, HI: Ellison Onizuka Kona International at Keahole,KOA,66489
Little Rock, AR: Bill and Hillary Clinton Nat Adams Field,LIT,66233
Savannah, GA: Savannah/Hilton Head International,SAV,65772
Portland, ME: Portland International Jetport,PWM,65271
Greensboro/High Point, NC: Piedmont Triad International,GSO,63336
White Plains, NY: Westchester County,HPN,62406
Sanford, FL: Orlando Sanford International,SFB,61070
Islip, NY: Long Island MacArthur,ISP,59111
Pensacola, FL: Pensacola International,PNS,57687
Lihue, HI: Lihue Airport,LIH,57619
Manchester, NH: Manchester-Boston Regional,MHT,57265
Fresno, CA: Fresno Yosemite International,FAT,54670
Myrtle Beach, SC: Myrtle Beach International,MYR,54444
Wichita, KS: Wichita Dwight D Eisenhower National,ICT,53111
Fayetteville, AR: Northwest Arkansas Regional,XNA,50644
Colorado Springs, CO: City of Colorado Springs Municipal,COS,50424
St. Petersburg, FL: St Pete Clearwater International,PIE,49870
Dayton, OH: James M Cox/Dayton International,DAY,49771
Sarasota/Bradenton, FL: Sarasota/Bradenton International,SRQ,49121
Harrisburg, PA: Harrisburg International,MDT,47633
Palm Springs, CA: Palm Springs International,PSP,46772
Asheville, NC: Asheville Regional,AVL,44804
Cedar Rapids/Iowa City, IA: The Eastern Iowa,CID,43200
Lexington, KY: Blue Grass,LEX,42410
Phoenix, AZ: Phoenix - Mesa Gateway,AZA,41999
Burlington, VT: Burlington International,BTV,41699
Atlantic City, NJ: Atlantic City International,ACY,40962
Huntsville, AL: Huntsville International-Carl T Jones Field,HSV,40449
Midland/Odessa, TX: Midland International Air and Space Port,MAF,40235
Eugene, OR: Mahlon Sweet Field,EUG,39313
Trenton, NJ: Trenton Mercer,TTN,37884
Bozeman, MT: Bozeman Yellowstone International,BZN,37676
Columbia, SC: Columbia Metropolitan,CAE,36058
Sioux Falls, SD: Joe Foss Field,FSD,35883
Chattanooga, TN: Lovell Field,CHA,34891
Springfield, MO: Springfield-Branson National,SGF,33889
Lubbock, TX: Lubbock Preston Smith International,LBB,33713
Medford, OR: Rogue Valley International - Medford,MFR,33478
Punta Gorda, FL: Punta Gorda Airport,PGD,33438
Valparaiso, FL: Eglin AFB Destin Fort Walton Beach,VPS,32280
Wilmington, NC: Wilmington International,ILM,32265
Jackson/Vicksburg, MS: Jackson Medgar Wiley Evers International,JAN,32040
Allentown/Bethlehem/Easton, PA: Lehigh Valley International,ABE,31097
Bend/Redmond, OR: Roberts Field,RDM,30678
Fairbanks, AK: Fairbanks International,FAI,30670
Hilo, HI: Hilo International,ITO,30630
Fargo, ND: Hector International,FAR,29647
Pasco/Kennewick/Richland, WA: Tri Cities,PSC,28455
Santa Barbara, CA: Santa Barbara Municipal,SBA,28395
Panama City, FL: Northwest Florida Beaches International,ECP,27948
Mission/McAllen/Edinburg, TX: McAllen Miller International,MFE,27852
Akron, OH: Akron-Canton Regional,CAK,27455
Everett, WA: Snohomish County,PAE,27222
South Bend, IN: South Bend International,SBN,27019
Missoula, MT: Missoula International,MSO,26667
Billings, MT: Billings Logan International,BIL,26429
Bellingham, WA: Bellingham International,BLI,26374
Fort Wayne, IN: Fort Wayne International,FWA,26001
Charlottesville, VA: Charlottesville Albemarle,CHO,24606
Appleton, WI: Appleton International,ATW,24540
Peoria, IL: General Downing - Peoria International,PIA,23776
Tallahassee, FL: Tallahassee International,TLH,23712
Moline, IL: Quad City International,MLI,23347
Baton Rouge, LA: Baton Rouge Metropolitan/Ryan Field,BTR,23143
Aguadilla, PR: Rafael Hernandez,BQN,22799
Amarillo, TX: Rick Husband Amarillo International,AMA,22442
Roanoke, VA: Roanoke Blacksburg Regional Woodrum Field,ROA,20906
